,index,Time Series,DKK_USD,DKK_IR,DKK_GDP,DKK_trade,DKK_UE,fc_year,price_gold,h1n1
0,2000-01-03,2000-01-03,7.329,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,290.3,0
1,2000-01-04,2000-01-04,7.218,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,281.5,0
2,2000-01-05,2000-01-05,7.2079999999999975,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,280.5,0
3,2000-01-06,2000-01-06,7.2125,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,279.4,0
4,2000-01-07,2000-01-07,7.2285,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,282.1,0
5,2000-01-10,2000-01-10,7.254,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,281.6,0
6,2000-01-11,2000-01-11,7.213999999999999,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,282.3,0
7,2000-01-12,2000-01-12,7.2360000000000015,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,282.3,0
8,2000-01-13,2000-01-13,7.2520000000000024,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,282.1,0
9,2000-01-14,2000-01-14,7.347,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,283.3,0
10,2000-01-18,2000-01-18,7.356,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,285.8,0
11,2000-01-19,2000-01-19,7.3655,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,287.7,0
12,2000-01-20,2000-01-20,7.343,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,288.1,0
13,2000-01-21,2000-01-21,7.3725,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,287.8,0
14,2000-01-24,2000-01-24,7.428,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,287.2,0
15,2000-01-25,2000-01-25,7.412000000000001,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,288.0,0
16,2000-01-26,2000-01-26,7.433,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,285.9,0
17,2000-01-27,2000-01-27,7.525,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,285.6,0
18,2000-01-28,2000-01-28,7.6165,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,286.8,0
19,2000-01-31,2000-01-31,7.632999999999999,3.1547,0.0124697731532814,1.0381303536500388,0.05,0,283.3,0
20,2000-02-01,2000-02-01,7.6445,3.4249,0.0124697731532814,1.1374184376480865,0.046,0,283.0,0
21,2000-02-02,2000-02-02,7.6215,3.4249,0.0124697731532814,1.1374184376480865,0.046,0,285.6,0
22,2000-02-03,2000-02-03,7.52,3.4249,0.0124697731532814,1.1374184376480865,0.046,0,285.1,0
23,2000-02-04,2000-02-04,7.626,3.4249,0.0124697731532814,1.1374184376480865,0.046,0,293.7,0
24,2000-02-07,2000-02-07,7.609,3.4249,0.0124697731532814,1.1374184376480865,0.046,0,312.7,0
25,2000-02-08,2000-02-08,7.5455,3.4249,0.0124697731532814,1.1374184376480865,0.046,0,296.3,0
26,2000-02-09,2000-02-09,7.504,3.4249,0.0124697731532814,1.1374184376480865,0.046,0,308.6,0
