,index,Time Series,GBP_USD,GBP_IR,GBP_GDP,GBP_trade,GBP_UE,fc_year,price_gold,h1n1
0,2000-01-03,2000-01-03,0.6146,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,290.3,0
1,2000-01-04,2000-01-04,0.6109,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,281.5,0
2,2000-01-05,2000-01-05,0.6092,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,280.5,0
3,2000-01-06,2000-01-06,0.607,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,279.4,0
4,2000-01-07,2000-01-07,0.6104,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,282.1,0
5,2000-01-10,2000-01-10,0.6107,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,281.6,0
6,2000-01-11,2000-01-11,0.6068,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,282.3,0
7,2000-01-12,2000-01-12,0.6073,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,282.3,0
8,2000-01-13,2000-01-13,0.6067,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,282.1,0
9,2000-01-14,2000-01-14,0.6115,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,283.3,0
10,2000-01-18,2000-01-18,0.6105,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,285.8,0
11,2000-01-19,2000-01-19,0.6083,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,287.7,0
12,2000-01-20,2000-01-20,0.6047,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,288.1,0
13,2000-01-21,2000-01-21,0.6059,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,287.8,0
14,2000-01-24,2000-01-24,0.6053,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,287.2,0
15,2000-01-25,2000-01-25,0.6067,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,288.0,0
16,2000-01-26,2000-01-26,0.6099,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,285.9,0
17,2000-01-27,2000-01-27,0.6111,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,285.6,0
18,2000-01-28,2000-01-28,0.6169,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,286.8,0
19,2000-01-31,2000-01-31,0.618,5.3527,0.0147671395909675,0.8136935830518862,0.057,0,283.3,0
20,2000-02-01,2000-02-01,0.6192,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,283.0,0
21,2000-02-02,2000-02-02,0.6227,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,285.6,0
22,2000-02-03,2000-02-03,0.624,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,285.1,0
23,2000-02-04,2000-02-04,0.6283,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,293.7,0
24,2000-02-07,2000-02-07,0.6283,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,312.7,0
25,2000-02-08,2000-02-08,0.6209,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,296.3,0
26,2000-02-09,2000-02-09,0.6205,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,308.6,0
27,2000-02-10,2000-02-10,0.6228,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,309.0,0
28,2000-02-11,2000-02-11,0.628,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,311.5,0
29,2000-02-14,2000-02-14,0.6293,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,308.4,0
30,2000-02-15,2000-02-15,0.627,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,304.3,0
31,2000-02-16,2000-02-16,0.6234,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,302.5,0
32,2000-02-17,2000-02-17,0.6231,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,304.8,0
33,2000-02-18,2000-02-18,0.6256,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,303.6,0
34,2000-02-22,2000-02-22,0.6186,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,302.3,0
35,2000-02-23,2000-02-23,0.6232,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,302.0,0
36,2000-02-24,2000-02-24,0.6257,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,298.8,0
37,2000-02-25,2000-02-25,0.6286,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,294.0,0
38,2000-02-28,2000-02-28,0.6275,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,292.5,0
39,2000-02-29,2000-02-29,0.6337,5.8408,0.0147671395909675,0.8375666898631378,0.057,0,293.7,0
40,2000-03-01,2000-03-01,0.631,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,292.9,0
41,2000-03-02,2000-03-02,0.6343,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,289.9,0
42,2000-03-03,2000-03-03,0.6325,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,288.5,0
43,2000-03-06,2000-03-06,0.6356,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,288.8,0
44,2000-03-07,2000-03-07,0.634,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,289.8,0
45,2000-03-08,2000-03-08,0.6307,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,291.2,0
46,2000-03-09,2000-03-09,0.6323,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,290.5,0
47,2000-03-10,2000-03-10,0.6332,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,290.3,0
48,2000-03-13,2000-03-13,0.6336,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,290.7,0
49,2000-03-14,2000-03-14,0.6359,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,288.8,0
50,2000-03-15,2000-03-15,0.6357,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,289.2,0
51,2000-03-16,2000-03-16,0.635,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,287.4,0
52,2000-03-17,2000-03-17,0.6367,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,283.9,0
53,2000-03-20,2000-03-20,0.6375,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,285.8,0
54,2000-03-21,2000-03-21,0.6359,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,285.2,0
55,2000-03-22,2000-03-22,0.6367,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,287.8,0
56,2000-03-23,2000-03-23,0.6317,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,284.8,0
57,2000-03-24,2000-03-24,0.6285,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,284.9,0
58,2000-03-27,2000-03-27,0.6307,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,284.2,0
59,2000-03-28,2000-03-28,0.63,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,280.7,0
60,2000-03-29,2000-03-29,0.6301,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,279.8,0
61,2000-03-30,2000-03-30,0.6281,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,275.8,0
62,2000-03-31,2000-03-31,0.6281,5.7620000000000005,0.0147671395909675,0.8888477409797902,0.056,0,276.8,0
63,2000-04-03,2000-04-03,0.6258,5.9347,0.00805285926657506,0.8095376225561306,0.056,0,277.5,0
64,2000-04-04,2000-04-04,0.6264,5.9347,0.00805285926657506,0.8095376225561306,0.056,0,276.9,0
65,2000-04-05,2000-04-05,0.6289,5.9347,0.00805285926657506,0.8095376225561306,0.056,0,281.3,0
66,2000-04-06,2000-04-06,0.6329,5.9347,0.00805285926657506,0.8095376225561306,0.056,0,279.4,0
67,2000-04-07,2000-04-07,0.6317,5.9347,0.00805285926657506,0.8095376225561306,0.056,0,280.2,0
68,2000-04-10,2000-04-10,0.6318,5.9347,0.00805285926657506,0.8095376225561306,0.056,0,282.3,0
69,2000-04-11,2000-04-11,0.63,5.9347,0.00805285926657506,0.8095376225561306,0.056,0,282.5,0
70,2000-04-12,2000-04-12,0.6296,5.9347,0.00805285926657506,0.8095376225561306,0.056,0,280.4,0
71,2000-04-13,2000-04-13,0.6297,5.9347,0.00805285926657506,0.8095376225561306,0.056,0,281.4,0
