,index,Time Series,MXN_USD,MXN_IR,MXN_GDP,MXN_trade,MXN_UE,fc_year,price_gold,h1n1
0,2000-01-03,2000-01-03,9.4015,15.29,0.010389796790947202,0.9488979736935702,0.023,0,290.3,0
1,2000-01-04,2000-01-04,9.457,15.29,0.010389796790947202,0.9488979736935702,0.023,0,281.5,0
2,2000-01-05,2000-01-05,9.535,15.29,0.010389796790947202,0.9488979736935702,0.023,0,280.5,0
3,2000-01-06,2000-01-06,9.567,15.29,0.010389796790947202,0.9488979736935702,0.023,0,279.4,0
4,2000-01-07,2000-01-07,9.52,15.29,0.010389796790947202,0.9488979736935702,0.023,0,282.1,0
5,2000-01-10,2000-01-10,9.445,15.29,0.010389796790947202,0.9488979736935702,0.023,0,281.6,0
6,2000-01-11,2000-01-11,9.4825,15.29,0.010389796790947202,0.9488979736935702,0.023,0,282.3,0
7,2000-01-12,2000-01-12,9.515,15.29,0.010389796790947202,0.9488979736935702,0.023,0,282.3,0
8,2000-01-13,2000-01-13,9.51,15.29,0.010389796790947202,0.9488979736935702,0.023,0,282.1,0
9,2000-01-14,2000-01-14,9.455,15.29,0.010389796790947202,0.9488979736935702,0.023,0,283.3,0
10,2000-01-18,2000-01-18,9.441,15.29,0.010389796790947202,0.9488979736935702,0.023,0,285.8,0
11,2000-01-19,2000-01-19,9.418,15.29,0.010389796790947202,0.9488979736935702,0.023,0,287.7,0
12,2000-01-20,2000-01-20,9.408,15.29,0.010389796790947202,0.9488979736935702,0.023,0,288.1,0
13,2000-01-21,2000-01-21,9.447000000000001,15.29,0.010389796790947202,0.9488979736935702,0.023,0,287.8,0
14,2000-01-24,2000-01-24,9.485,15.29,0.010389796790947202,0.9488979736935702,0.023,0,287.2,0
15,2000-01-25,2000-01-25,9.525,15.29,0.010389796790947202,0.9488979736935702,0.023,0,288.0,0
16,2000-01-26,2000-01-26,9.5175,15.29,0.010389796790947202,0.9488979736935702,0.023,0,285.9,0
17,2000-01-27,2000-01-27,9.52,15.29,0.010389796790947202,0.9488979736935702,0.023,0,285.6,0
18,2000-01-28,2000-01-28,9.581,15.29,0.010389796790947202,0.9488979736935702,0.023,0,286.8,0
19,2000-01-31,2000-01-31,9.64,15.29,0.010389796790947202,0.9488979736935702,0.023,0,283.3,0
20,2000-02-01,2000-02-01,9.597000000000001,15.18,0.010389796790947202,0.9814419963673694,0.021,0,283.0,0
21,2000-02-02,2000-02-02,9.575,15.18,0.010389796790947202,0.9814419963673694,0.021,0,285.6,0
22,2000-02-03,2000-02-03,9.51,15.18,0.010389796790947202,0.9814419963673694,0.021,0,285.1,0
